State,"OBAMA, BARACK","ROMNEY, MITT / RYAN, PAUL D.","PAUL, RON","GINGRICH, NEWT","SANTORUM, RICHARD J.","PERRY, JAMES R (RICK)","CAIN, HERMAN","HERMAN, RAPHAEL","HUNTSMAN, JON","PAWLENTY, TIMOTHY"
PR,"$401,169.27 ","$184,987.00 ","$1,852.40 ","$3,500.00 ","$8,425.00 ","$2,800.00 ",$0.00 ,$0.00 ,$0.00 ,"$72,000.00 "
SD,"$372,201.88 ","$826,707.00 ","$45,723.89 ","$63,055.30 ","$36,685.55 ","$6,505.00 ","$17,969.99 ",$0.00 ,"$1,000.00 ","$24,000.00 "
VI,"$250,554.20 ","$34,700.00 ",$333.33 ,$850.00 ,"$1,250.00 ",$0.00 ,"$2,500.00 ",$0.00 ,$250.00 ,$0.00 
ND,"$248,213.48 ","$537,142.50 ","$72,992.23 ","$21,456.79 ","$53,086.83 ","$3,500.00 ","$12,789.00 ",$0.00 ,$0.00 ,"$5,700.00 "
AE,"$86,322.25 ","$3,215.00 ","$12,583.03 ",$525.00 ,"$1,165.00 ",$50.00 ,$255.00 ,$0.00 ,$0.00 ,$0.00 
GU,"$51,496.00 ","$31,229.00 ","$3,613.65 ",$0.00 ,"$2,000.00 ",$0.00 ,$0.00 ,$0.00 ,$150.00 ,"$1,000.00 "
AP,"$35,247.00 ",$820.00 ,"$5,803.70 ",$524.30 ,$150.00 ,$0.00 ,$0.00 ,$0.00 ,$125.00 ,$0.00 
ZZ,"$22,101.00 ",$0.00 ,"$35,096.42 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
MP,"$17,318.00 ","$4,500.00 ",$831.15 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
AS,"$11,292.00 ","$4,472.80 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
AA,"$10,761.00 ",$160.00 ,$150.00 ,$50.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$25.00 ,$0.00 
