cand_id,cmte_id,cycle,total,count,support_oppose_indicator,candidate_id,committee_id,candidate_name,committee_name
P00010454,C00697300,2020,1780487.94,18,S,P00010454,C00697300,"INSLEE, JAY R",ACT NOW ON CLIMATE
P00010793,C00406256,2020,16.62,1,S,P00010793,C00406256,"O'ROURKE, ROBERT BETO",DEMOCRATIC CENTRAL COMMITTEE OF MARIN
P00010793,C00432260,2020,8.18,1,O,P00010793,C00432260,"O'ROURKE, ROBERT BETO",CLUB FOR GROWTH PAC
P00010793,C00487470,2020,34616.38,4,O,P00010793,C00487470,"O'ROURKE, ROBERT BETO",CLUB FOR GROWTH ACTION
P00010793,C00692020,2020,9565.82,23,S,P00010793,C00692020,"O'ROURKE, ROBERT BETO",IMPEACH
P00010793,C90015843,2020,195.52,1,O,P00010793,C90015843,"O'ROURKE, ROBERT BETO",TEXAS RIGHT TO LIFE COMMITTEE INC
P00011239,C00172361,2020,876.89,2,O,P00011239,C00172361,"WELD, WILLIAM FLOYD (BILL)",PENNSYLVANIA PRO-LIFE FEDERATION PAC
P00011239,C90019076,2020,83908.00,4,S,P00011239,C90019076,"WELD, WILLIAM FLOYD (BILL)",SHINING CITY UPON A HILL INC.
P00011833,C90018862,2020,176.16,1,S,P00011833,C90018862,"BENNET, MICHAEL F.","MISLOVE, ALAN EDWARD"
P00011999,C00571703,2020,148497.00,6,O,P00011999,C00571703,"BULLOCK, STEVE",SENATE LEADERSHIP FUND
P00011999,C90017898,2020,13922.88,40,S,P00011999,C90017898,"BULLOCK, STEVE",PROTECT OUR WINTERS ACTION FUND
P00012054,C00712539,2020,400000.05,62,S,P00012054,C00712539,"DE BLASIO, BILL",NEW YORK HOTEL TRADES COUNCIL & UNITE HERE LOCAL 6 PAC
P00012054,C90018011,2020,100000.00,48,S,P00012054,C90018011,"DE BLASIO, BILL",HOTEL WORKERS FOR STRONGER COMMUNITIES
P00012054,C90018698,2020,76608.17,15,O,P00012054,C90018698,"DE BLASIO, BILL",POLICE BENEVOLENT ASSOCIATION OF THE CITY OF NEW YORK INC.
P00012211,C00526707,2020,200.00,1,S,P00012211,C00526707,"HAWKINS, HOWIE",GREEN PARTY OF VIRGINIA FEDERAL PAC
P00012716,C90018862,2020,940.88,3,S,P00012716,C90018862,"STEYER, TOM","MISLOVE, ALAN EDWARD"
P00013417,C00729079,2020,400.00,1,S,P00013417,C00729079,"SYKES, MARCUS ERRELLIUS",POPULOUS PARTY FOR MARCUS SYKES
P00013524,C00625079,2020,325.74,2,S,P00013524,C00625079,"JORGENSEN, JO",LIBERTARIAN PARTY OF ARKANSAS
